epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.686,1.37815,2.10638,1.32005,0.6146,0.41388,0.4542,0.32204,1.19919,1.29943,1.14363,3.9508e-05,3.9508e-05,3.9508e-05
2,312.037,1.40072,1.93238,1.31463,0.62095,0.43386,0.46207,0.32784,1.19978,1.28085,1.14339,7.52555e-05,7.52555e-05,7.52555e-05
3,466.217,1.36106,1.84738,1.28731,0.60857,0.45122,0.47388,0.3371,1.18683,1.25515,1.1281,0.000107076,0.000107076,0.000107076
4,620.44,1.33729,1.81886,1.2754,0.6428,0.44945,0.48873,0.34797,1.17671,1.24104,1.12633,0.000101329,0.000101329,0.000101329
5,773.874,1.33277,1.76898,1.27495,0.61173,0.46763,0.49213,0.35148,1.17387,1.22396,1.11725,9.5438e-05,9.5438e-05,9.5438e-05
6,927.344,1.32448,1.69981,1.26006,0.6342,0.47213,0.5038,0.36003,1.15825,1.2041,1.11476,8.95475e-05,8.95475e-05,8.95475e-05
7,1080.49,1.30868,1.68442,1.24777,0.67521,0.4698,0.51054,0.36298,1.15289,1.18164,1.10977,8.3657e-05,8.3657e-05,8.3657e-05
8,1231.6,1.29261,1.69437,1.24898,0.63807,0.47791,0.51327,0.36919,1.14031,1.16819,1.1069,7.77665e-05,7.77665e-05,7.77665e-05
9,1382.93,1.29752,1.65589,1.24903,0.66988,0.47715,0.52205,0.37551,1.13107,1.1611,1.10252,7.1876e-05,7.1876e-05,7.1876e-05
10,1535.42,1.2846,1.61252,1.24296,0.67896,0.48343,0.52874,0.38058,1.13034,1.16497,1.09683,6.59855e-05,6.59855e-05,6.59855e-05
11,1684.87,1.2931,1.65591,1.21943,0.62999,0.48044,0.51466,0.3659,1.14222,1.20034,1.0987,6.0095e-05,6.0095e-05,6.0095e-05
12,1834.39,1.25683,1.52636,1.20762,0.66759,0.47418,0.52315,0.37758,1.11865,1.19057,1.09193,5.42045e-05,5.42045e-05,5.42045e-05
13,1983.49,1.22967,1.46632,1.18572,0.66429,0.48019,0.52978,0.3855,1.11954,1.16149,1.08866,4.8314e-05,4.8314e-05,4.8314e-05
14,2132.45,1.22634,1.4525,1.18227,0.64614,0.49807,0.5338,0.38665,1.11843,1.14928,1.09027,4.24235e-05,4.24235e-05,4.24235e-05
15,2281.67,1.20774,1.39991,1.17421,0.67094,0.48881,0.53543,0.38876,1.11716,1.14322,1.08776,3.6533e-05,3.6533e-05,3.6533e-05
16,2430.82,1.21172,1.40751,1.17971,0.69772,0.48748,0.53988,0.39131,1.11005,1.13655,1.08406,3.06425e-05,3.06425e-05,3.06425e-05
17,2580.03,1.20254,1.38197,1.172,0.67087,0.49905,0.54148,0.39252,1.10857,1.13356,1.0815,2.4752e-05,2.4752e-05,2.4752e-05
18,2729.26,1.19175,1.35571,1.15947,0.67442,0.49544,0.5472,0.39736,1.10362,1.12609,1.0793,1.88615e-05,1.88615e-05,1.88615e-05
19,2878.19,1.19546,1.36245,1.16885,0.67112,0.50413,0.5493,0.39958,1.09571,1.10929,1.07509,1.2971e-05,1.2971e-05,1.2971e-05
20,3038.82,1.17966,1.32727,1.15049,0.70146,0.49201,0.549,0.40016,1.09522,1.11341,1.07465,7.0805e-06,7.0805e-06,7.0805e-06
